,House Name,House Letter,Sample Number,Sample Date,Sample Time,Copper Result,Iron Result,Lead Result,Chloride Result
0,8,x,DS03x,2016-02-07,12:32,1.42,80.0,0.5,9040.0
1,8,x,S01x,2016-02-07,12:21,162.0,80.0,1.61,9040.0
2,8,x,S02x,2016-02-07,12:21,13.3,80.0,3.48,9040.0
3,8,x,S03x,2016-02-07,12:21,28.9,316.0,23.2,9040.0
4,8,x,S04x,2016-02-07,12:21,23.0,375.0,25.8,9040.0
5,8,x,S05x,2016-02-07,12:21,16.4,191.0,13.2,9040.0
6,8,x,S06x,2016-02-07,12:21,11.5,128.0,8.7,9040.0
7,8,x,S07x,2016-02-07,12:21,7.09,96.1,6.62,9040.0
8,8,x,S08x,2016-02-07,12:21,6.35,82.5,5.39,9040.0
9,8,x,S09x,2016-02-07,12:21,5.53,80.0,4.54,9040.0
10,8,x,S10x,2016-02-07,12:21,4.59,80.0,4.49,9040.0
11,8,x,S11x,2016-02-07,12:21,4.01,91.0,4.53,9040.0
12,8,x,S12x,2016-02-07,12:21,3.98,80.0,2.85,9040.0
13,8,x,S13x,2016-02-07,12:21,3.54,80.0,2.59,9040.0
14,8,x,S14x,2016-02-07,12:21,3.53,80.0,2.56,9040.0
15,15,av,DS03av,2016-02-10,11:14,1.3,80.0,0.729,9460.0
16,15,av,S01av,2016-02-10,11:02,23.1,80.0,2.21,9460.0
17,15,av,S02av,2016-02-10,11:02,8.14,80.0,2.31,9460.0
18,15,av,S03av,2016-02-10,11:02,4.5,80.0,1.03,9460.0
19,15,av,S04av,2016-02-10,11:02,15.1,80.0,1.36,9460.0
20,15,av,S05av,2016-02-10,11:02,3.11,80.0,1.15,9460.0
21,15,av,S06av,2016-02-10,11:02,2.68,80.0,1.14,9460.0
22,15,av,S07av,2016-02-10,11:02,15.2,80.0,2.29,9460.0
23,15,av,S08av,2016-02-10,11:02,4.47,80.0,4.44,9460.0
24,15,av,S09av,2016-02-10,11:02,2.25,80.0,3.18,9460.0
25,15,av,S10av,2016-02-10,11:02,1.87,80.0,1.37,9460.0
26,15,av,S11av,2016-02-10,11:02,1.78,80.0,0.88,9460.0
27,15,av,S12av,2016-02-10,11:02,1.8,80.0,0.868,9460.0
28,15,av,S13av,2016-02-10,11:02,1.62,80.0,0.811,9460.0
29,15,av,S14av,2016-02-10,11:02,1.56,80.0,0.82,9460.0
30,17,ck,DS03ck,2016-02-19,08:19,5.37,80.0,0.5,9470.0
31,17,ck,S01ck,2016-02-19,08:12,146.0,179.0,2.11,9470.0
32,17,ck,S02ck,2016-02-19,08:12,107.0,80.0,1.08,9470.0
